2020-01-16	1
2020-01-17	1
2020-01-18	1
2020-01-19	1
2020-01-20	1
2020-01-21	1
2020-01-22	1
2020-01-23	1
2020-01-24	3
2020-01-25	3
2020-01-26	4
2020-01-27	6
2020-01-28	7
2020-01-29	11
2020-01-30	14
2020-01-31	17
2020-02-01	20
2020-02-02	20
2020-02-03	20
2020-02-04	23
2020-02-05	25
2020-02-06	25
2020-02-07	25
2020-02-08	26
2020-02-09	26
2020-02-10	26
2020-02-11	26
2020-02-12	28
2020-02-13	33
2020-02-14	41
2020-02-15	53
2020-02-16	59
2020-02-17	65
2020-02-18	73
2020-02-19	85
2020-02-20	93
2020-02-21	105
2020-02-22	132
2020-02-23	144
2020-02-24	157
2020-02-25	164
2020-02-26	186
2020-02-27	210
2020-02-28	230
2020-02-29	239
2020-03-01	254
2020-03-02	268
2020-03-03	284
2020-03-04	317
2020-03-05	349
2020-03-06	408
2020-03-07	455
2020-03-08	488
2020-03-09	514
2020-03-10	568
2020-03-11	620
2020-03-12	675
2020-03-13	716
2020-03-14	780
2020-03-15	814
2020-03-16	829
2020-03-17	873
