2020-01-31	1
2020-02-01	1
2020-02-02	1
2020-02-03	1
2020-02-04	1
2020-02-05	1
2020-02-06	1
2020-02-07	1
2020-02-08	1
2020-02-09	2
2020-02-10	2
2020-02-11	2
2020-02-12	2
2020-02-13	3
2020-02-14	3
2020-02-15	3
2020-02-16	3
2020-02-17	3
2020-02-18	3
2020-02-19	3
2020-02-20	3
2020-02-21	3
2020-02-22	3
2020-02-23	3
2020-02-24	4
2020-02-25	10
2020-02-26	14
2020-02-27	26
2020-02-28	34
2020-02-29	59
2020-03-01	85
2020-03-02	121
2020-03-03	166
2020-03-04	228
2020-03-05	282
2020-03-06	401
2020-03-07	525
2020-03-08	674
2020-03-09	1231
2020-03-10	1695
2020-03-11	2277
2020-03-12	3146
2020-03-13	5232
2020-03-14	6391
2020-03-15	7988
2020-03-16	9942
2020-03-17	11826
2020-03-18	13716
